0,Oil,negate_damage,True,Candle,None,Oil with Candle,None,1
1,Gasoline,None,True,Candle,Chainsaw,Oil with Candle,Filled Chainsaw,1
2,Board w/ Nails,add_1_attack,False,None,None,None,None,1
3,Can of Soda,add_2_health,False,None,None,None,None,1
4,Grisly Femur,add_1_attack,False,None,None,None,None,1
5,Golf Club,add_1_attack,False,None,None,None,None,1
6,Candle,None,True,Oil,Gasoline,Oil with Candle,Gasoline with Candle,1
7,Chainsaw,add_3_attack,True,Gasoline,None,Chainsaw,None,2
8,Machete,add_2_attack,False,None,None,None,None,1
9,Oil with Candle,kill_all_zombies,False,None,None,None,None,1
10,Gasoline with Candle,kill_all_zombies,False,None,None,None,None,1
11,Totem,None,False,None,None,None,None,1